URL,Status,"Google Status","Last Inspected"
https://movingcars.com.au/adelaide-albany/,PASS,"Submitted and indexed","2025-12-30 08:39:15"
https://movingcars.com.au/adelaide-albury/,PASS,"Submitted and indexed","2025-12-30 08:39:22"
https://movingcars.com.au/adelaide-alice-springs/,PASS,"Submitted and indexed","2025-12-30 08:39:29"
https://movingcars.com.au/adelaide-armidale/,PASS,"Submitted and indexed","2025-12-30 08:39:36"
https://movingcars.com.au/adelaide-ballarat/,PASS,"Submitted and indexed","2025-12-30 08:39:43"
https://movingcars.com.au/adelaide-benalla/,PASS,"Submitted and indexed","2025-12-30 08:39:50"
https://movingcars.com.au/adelaide-broken-hill/,PASS,"Submitted and indexed","2025-12-30 08:40:12"
https://movingcars.com.au/adelaide-bunbury/,PASS,"Submitted and indexed","2025-12-30 08:40:19"
https://movingcars.com.au/adelaide-bundaberg/,PASS,"Submitted and indexed","2025-12-30 08:40:26"
https://movingcars.com.au/adelaide-cairns/,PASS,"Submitted and indexed","2025-12-30 08:40:40"
https://movingcars.com.au/adelaide-cessnock/,PASS,"Submitted and indexed","2025-12-30 08:41:02"
https://movingcars.com.au/adelaide-coffs-harbour/,PASS,"Submitted and indexed","2025-12-30 08:41:09"
https://movingcars.com.au/adelaide-derby/,PASS,"Submitted and indexed","2025-12-30 08:41:16"
https://movingcars.com.au/adelaide-devonport/,PASS,"Submitted and indexed","2025-12-30 08:29:31"
https://movingcars.com.au/adelaide-dubbo/,PASS,"Submitted and indexed","2025-12-30 08:29:39"
https://movingcars.com.au/adelaide-fremantle/,PASS,"Submitted and indexed","2025-12-30 08:29:46"
https://movingcars.com.au/adelaide-geraldton/,PASS,"Submitted and indexed","2025-12-30 08:30:00"
https://movingcars.com.au/adelaide-gladstone/,PASS,"Submitted and indexed","2025-12-30 08:30:07"
https://movingcars.com.au/adelaide-gosford/,PASS,"Submitted and indexed","2025-12-30 08:30:22"
https://movingcars.com.au/adelaide-gympie/,PASS,"Submitted and indexed","2025-12-30 08:30:36"
https://movingcars.com.au/adelaide-hobart/,PASS,"Submitted and indexed","2025-12-30 08:30:43"
https://movingcars.com.au/adelaide-kalgoorlie/,PASS,"Submitted and indexed","2025-12-30 08:30:50"
https://movingcars.com.au/adelaide-karratha/,PASS,"Submitted and indexed","2025-12-30 08:30:57"
https://movingcars.com.au/adelaide-katherine/,PASS,"Submitted and indexed","2025-12-30 08:31:04"
https://movingcars.com.au/adelaide-kununurra/,PASS,"Submitted and indexed","2025-12-30 08:31:11"
https://movingcars.com.au/adelaide-launceston/,PASS,"Submitted and indexed","2025-12-30 08:31:18"
https://movingcars.com.au/adelaide-mandurah/,PASS,"Submitted and indexed","2025-12-30 08:31:47"
https://movingcars.com.au/adelaide-mildura/,PASS,"Submitted and indexed","2025-12-30 08:32:08"
https://movingcars.com.au/adelaide-murray-bridge/,PASS,"Submitted and indexed","2025-12-30 08:32:22"
https://movingcars.com.au/adelaide-orange/,PASS,"Submitted and indexed","2025-12-30 08:32:44"
https://movingcars.com.au/adelaide-port-augusta/,PASS,"Submitted and indexed","2025-12-30 08:32:51"
https://movingcars.com.au/adelaide-port-hedland/,PASS,"Submitted and indexed","2025-12-30 08:32:58"
https://movingcars.com.au/adelaide-tasmania/,PASS,"Submitted and indexed","2025-12-30 08:33:33"
https://movingcars.com.au/adelaide-traralgon/,PASS,"Submitted and indexed","2025-12-30 08:33:55"
